"Annual Summaries for Precipitation (2024), Stn: 13960"

Station:,DALLAS FAA AP,State:,TX,ID:,13960
Latitude:,32.83839 degreeN,Longitude:,96.83583 degreeW,Elevation:,484.0 feet
Station period of record:,pcpn: 08/01/1939-03/22/2025

index,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
01,0.00,0.00,0.00,0.06,0.00,1.06,0.00,0.00,0.80,0.00,T,0.00
02,0.37,0.48,0.00,T,0.73,1.35,0.00,0.00,0.00,0.00,0.04,0.00
03,0.00,0.18,0.00,0.00,0.07,0.19,0.00,0.88,0.29,0.00,0.33,0.00
04,T,0.03,0.00,0.00,1.28,0.05,0.00,0.00,0.26,0.00,2.56,0.46
05,0.33,T,0.00,0.00,2.23,1.55,0.78,0.00,0.00,0.00,0.03,0.00
06,0.00,0.00,0.08,0.00,T,0.00,0.00,0.00,T,0.00,0.00,0.01
07,0.00,0.00,1.78,T,0.00,0.00,0.00,0.00,0.00,0.00,T,0.80
08,0.83,0.00,0.59,0.04,0.08,0.00,0.18,0.00,0.00,0.00,0.34,0.04
09,0.00,0.00,0.00,1.80,T,0.00,0.00,0.08,0.00,0.00,0.00,0.00
10,0.00,0.40,0.00,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11,0.00,0.47,0.07,0.00,0.03,0.15,0.00,0.00,T,0.00,0.00,0.00
12,0.30,T,0.00,0.00,0.78,0.00,0.00,0.00,T,0.00,0.00,0.00
13,0.00,0.00,0.00,0.00,T,0.00,0.00,0.00,0.00,0.00,T,0.03
14,T,0.00,T,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07
15,0.01,0.00,0.46,T,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
16,0.00,0.00,1.61,0.05,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.55
17,0.00,0.00,0.02,0.00,0.00,0.00,0.23,0.00,0.00,0.00,0.61,0.00
18,0.00,0.00,0.00,0.00,0.00,T,0.00,0.00,0.00,0.00,0.18,0.05
19,0.00,0.00,0.00,0.00,0.00,T,0.00,0.00,0.00,0.00,0.00,0.00
20,0.00,0.00,0.00,4.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21,0.08,0.00,0.95,0.00,0.04,0.00,0.42,0.00,0.00,0.00,0.00,0.00
22,0.70,0.00,0.01,0.00,0.18,0.00,0.11,0.00,0.00,0.00,0.00,0.00
23,0.43,0.00,0.00,0.00,T,0.00,0.02,0.00,0.59,0.00,0.00,0.00
24,0.03,0.00,0.07,0.00,T,0.00,0.10,0.00,0.00,0.00,0.00,2.17
25,0.01,0.00,0.83,T,0.00,0.00,0.00,0.00,1.08,0.00,0.00,T
26,0.14,0.00,0.00,0.08,0.07,0.00,0.00,0.00,0.00,0.00,0.00,1.28
27,0.64,0.00,0.00,T,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00
28,0.00,0.00,0.00,2.46,1.03,0.00,0.00,0.00,0.00,0.00,0.00,0.44
29,0.00,0.10,0.00,T,T,0.00,0.00,0.00,0.00,T,0.00,0.00
30,0.00,M,0.00,0.00,2.15,0.00,0.00,0.00,0.00,T,0.00,0.00
31,0.00,M,0.00,M,0.54,M,0.00,0.00,M,0.41,M,0.00

index,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
Max,0.83,0.48,1.78,4.22,2.23,1.55,0.78,0.88,1.08,0.41,2.56,2.17
DFN,1.28,-1.12,3.02,5.92,5.15,0.52,0.13,-1.23,-0.08,-4.38,1.16,2.68
Sum,3.87,1.66,6.47,9.07,9.72,4.35,1.84,0.96,3.02,0.41,4.09,5.91

