"Annual Summaries for Precipitation (2024), Stn: US1TXEP0040"

Station:,EL PASO 10.7 E,State:,TX,ID:,US1TXEP0040
Latitude:,31.7361 degreeN,Longitude:,106.30876 degreeW,Elevation:,3895.0 feet
Station period of record:,pcpn: 05/25/2012-03/20/2025

index,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
01,0.00,0.00,0.00,T,0.00,0.00,0.85,0.15,0.00,M,0.00,0.00
02,T,0.07,0.00,0.00,0.00,0.00,0.00,M,T,M,0.00,0.00
03,0.00,0.03,0.00,0.00,0.00,0.00,0.15,M,0.16,M,0.00,0.00
04,0.00,0.00,0.00,0.00,0.00,M,0.00,T,0.00,M,0.29,0.00
05,T,0.00,0.00,0.00,0.00,M,0.00,M,0.00,M,0.00,0.00
06,0.00,M,0.00,0.00,0.00,0.00,0.00,M,0.00,M,0.00,0.00
07,0.00,T,0.00,0.00,0.00,0.00,0.00,M,M,M,T,0.00
08,0.00,0.01,0.00,0.00,0.00,0.00,0.00,M,M,M,0.11,0.00
09,0.00,0.00,0.00,M,0.00,0.00,0.00,M,M,M,0.00,0.00
10,0.00,0.00,0.00,M,0.00,0.00,0.02,0.00,M,M,0.00,0.00
11,0.00,0.03,0.00,M,0.00,0.00,0.00,0.00,M,M,0.00,0.00
12,0.02,0.00,0.00,M,0.00,0.00,0.00,0.00,M,M,0.00,0.00
13,0.00,0.00,0.00,M,0.00,0.00,M,0.00,M,M,0.00,0.00
14,0.00,0.00,0.00,M,0.00,0.00,0.00,0.02,M,M,0.00,0.00
15,0.00,0.00,0.00,M,0.00,0.00,0.00,0.00,M,M,0.00,0.00
16,0.00,0.00,0.00,M,M,0.00,0.00,0.00,0.00,M,0.00,0.00
17,0.00,0.00,0.00,M,T,0.00,0.00,0.00,0.00,M,0.00,0.00
18,0.00,0.00,0.08,M,0.00,0.00,0.00,0.00,0.00,M,0.45,0.00
19,0.00,0.00,0.01,0.00,0.00,0.00,T,0.00,0.00,M,0.00,0.00
20,0.00,0.00,0.00,0.00,0.00,T,0.00,0.00,0.00,M,0.00,0.00
21,0.00,0.00,0.00,0.00,0.00,0.00,T,0.00,T,M,0.00,0.00
22,0.00,0.00,0.00,0.00,0.00,0.00,0.03,T,0.00,M,0.00,0.00
23,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,M
25,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,M,0.00
26,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
27,0.00,0.00,0.02,0.00,0.00,0.31,M,0.49,M,0.00,0.00,0.00
28,0.00,0.00,0.00,0.00,0.00,0.00,M,0.02,M,0.00,0.00,0.00
29,0.00,0.35,0.00,0.00,0.00,0.00,0.06,0.00,M,0.00,0.00,0.00
30,0.00,M,0.00,0.00,0.00,0.00,T,M,M,0.00,0.00,0.00
31,M,M,0.00,M,0.00,M,M,T,M,M,M,0.00

index,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
Max,0.12,0.35,0.08,M,M,0.31,0.85,0.49,0.16,0.0,0.45,0.0
DFN,M,M,M,M,M,M,M,M,M,M,M,M
Sum,0.25,0.49,0.11,M,M,0.31,1.11,0.68,0.16,0.0,0.85,0.0

