"Annual Summaries for Precipitation (2024), Stn: US1TXBXR367"

Station:,SAN ANTONIO 5.5 N,State:,TX,ID:,US1TXBXR367
Latitude:,29.53644 degreeN,Longitude:,98.49708 degreeW,Elevation:,903.0 feet
Station period of record:,pcpn: 09/25/2017-03/23/2025

index,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
01,0.00,M,0.00,0.03,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00
02,0.00,0.00,0.00,0.18,0.17,0.00,0.00,0.00,0.00,0.00,0.05,0.00
03,0.67,0.94,0.00,0.00,0.06,0.00,0.00,0.00,0.18,0.00,T,0.03
04,0.02,0.01,0.00,0.00,0.08,0.00,M,M,2.10,0.00,0.00,0.08
05,0.18,0.00,M,0.00,0.05,0.00,M,0.06,0.02,0.00,1.64,0.02
06,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.03,0.02,0.00,0.01,T
07,0.00,T,0.01,0.01,0.00,0.00,M,0.00,0.00,0.00,0.00,0.04
08,0.29,0.00,0.04,0.00,0.00,0.00,0.01,0.00,0.00,M,T,0.16
09,0.07,0.00,0.00,0.00,0.02,M,0.00,0.00,0.00,0.00,0.04,0.01
10,0.00,0.01,M,1.32,0.00,0.84,0.09,0.00,0.00,0.00,0.00,0.00
11,T,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13,0.00,M,0.02,0.00,0.00,0.23,0.00,0.00,0.00,0.00,0.00,0.00
14,0.00,0.00,0.00,0.00,0.30,0.00,0.13,0.00,0.00,0.00,0.00,0.14
15,0.00,0.00,0.02,0.00,0.00,0.00,M,0.00,0.00,M,M,0.05
16,0.00,M,0.03,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03
17,0.00,0.00,0.48,0.04,0.04,T,0.00,0.00,0.00,M,0.00,0.00
18,0.00,0.00,0.03,T,0.00,0.04,0.00,0.00,0.00,0.00,0.06,0.00
19,0.00,0.00,T,0.00,0.00,0.00,0.07,0.00,0.00,0.01,0.14,0.00
20,0.00,0.00,0.00,0.00,0.00,0.59,0.60,0.00,0.00,M,0.00,0.00
21,0.00,0.00,0.02,0.33,0.00,0.56,0.00,0.00,0.00,0.00,0.00,0.00
22,3.23,0.00,0.20,0.00,0.00,0.03,0.07,0.00,0.00,0.00,M,0.00
23,0.04,0.00,0.00,0.00,0.00,0.00,0.57,0.00,0.00,0.00,0.00,0.00
24,1.41,0.00,0.00,0.00,0.00,0.00,0.25,0.06,0.00,0.00,0.00,0.00
25,0.74,0.00,0.21,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00
26,0.02,0.00,0.00,T,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
27,0.00,0.00,T,T,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.01
28,M,0.00,0.05,1.12,0.00,0.00,0.05,0.40,0.00,T,0.00,T
29,0.00,0.00,0.00,0.01,0.20,0.00,0.88,0.00,M,T,0.00,0.01
30,0.00,M,0.00,0.00,0.00,0.00,M,0.00,0.00,T,0.00,0.00
31,M,M,M,M,0.29,M,0.00,0.00,M,0.00,M,0.00

index,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
Max,3.23,0.94,0.48,1.32,0.3,0.84,0.88,0.4,2.1,0.01,1.64,0.16
DFN,M,M,M,M,M,M,M,M,M,M,M,M
Sum,6.67,1.0,1.11,3.06,1.24,2.31,2.89,0.62,2.32,0.01,1.94,0.58

